#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:cluster11" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:cluster11" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:cluster11" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:cluster11" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:cluster11">
#                    <trait id="dateTrait.t:cluster11" spec="beast.evolution.tree.TraitSet" traitname="date">
#                ERR3198398_Europe_UK_2012.33606557377=2012.33606557377,
#NQSH01_Asia_China_2015.38904109589=2015.38904109589,
#NQSG01_Asia_China_2015.25205479452=2015.25205479452,
#NQSD01_Asia_China_2013.57260273973=2013.57260273973,
#12078_1#62_Europe_UK_2012.94808743169=2012.94808743169,
#SRR7800410_NorthAmerica_USA_2016.79781420765=2016.79781420765,
#12163_2#87_Europe_UK_2012.92349726776=2012.92349726776,
#NQSF01_Asia_China_2015.24931506849=2015.24931506849,
#10665_4#49_Europe_UK_2006.50136986301=2006.50136986301,
#NQSU01_Asia_China_2012.43715846995=2012.43715846995,
#10625_4#79_Europe_UK_2010.87671232877=2010.87671232877,
#12163_2#84_Europe_UK_2011.64657534247=2011.64657534247,
#12163_1#82_Europe_UK_2011.83561643836=2011.83561643836,
#SRR7800482_NorthAmerica_USA_2015.80273972603=2015.80273972603,
#NQSE01_Asia_China_2012.49726775956=2012.49726775956,
#12082_5#69_Europe_UK_2012.75956284153=2012.75956284153                
#                                    <taxa id="TaxonSet.cluster11" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.cluster11"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:cluster11" jeffreys="true" parameter="@bPopSizes.t:cluster11" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="KappaPrior.s:cluster11" name="distribution">
#            <parameter id="kappa.s:cluster11" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cluster11" name="distribution">
#            <parameter id="ucldMean.c:cluster11" name="x">0.0029</parameter>
#            <Uniform id="Uniform.3" lower="2.9E-5" name="distr" upper="0.29"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cluster11" name="distribution">
#            <parameter id="ucldStdev.c:cluster11" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cluster11" id="treeLikelihood.cluster11" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cluster11">
#            <siteModel id="SiteModel.s:cluster11" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cluster11" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cluster11" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cluster11" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cluster11" kappa="@kappa.s:cluster11" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cluster11" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cluster11" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cluster11" id="RelaxedClock.c:cluster11" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cluster11">
#                <LogNormal S="@ucldStdev.c:cluster11" id="LogNormalDistributionModel.c:cluster11" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="30" id="rateCategories.c:cluster11" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-1162.7912429617363	-1082.4633862143053	-80.3278567474311	-1082.4633862143053	23.171025194796993	3.360785811354263	0.01184452643840683	0.4924244687897564	0.009523841862780907	2.725707109081398E-5	0.49257622133412415	-56.83719372174061	152.5046493192742	75.7832975105259	24.226965594024602	12.036534728261795	0.5621978603556083	3	1	1	9	1	0.17157290341205234	0.36026531339990414	0.2657245499737841	0.20243723321425935	
100000	-1143.7721423316584	-1078.4585792563153	-65.31356307534308	-1078.4585792563153	13.097159910867479	3.18091064656096	0.01137145396873631	0.39779810556230577	0.011849713851179125	2.7462548697549977E-5	0.45897613658499703	-47.43812261322611	72.2813408349139	4.248127049746195	3.242473865886923	2.7668073132721176	6.455377195414766	2	3	5	1	4	0.18218046833297674	0.33526986763726924	0.27866400663782187	0.20388565739193196	
200000	-1156.7930651923125	-1079.6705949658055	-77.12247022650699	-1079.6705949658055	14.910914077664437	4.098782094826996	0.01567323407266147	0.3814578426367638	0.012970878452552053	2.037109119614948E-5	0.32500617721279174	-51.76508264415936	214.9712374345978	131.49899837195093	85.76672741781555	6.016287853762429	1.5305741670950397	1	3	1	9	1	0.1998884408098227	0.33080497644616197	0.2714363662875971	0.19787021645641795	
300000	-1159.5243672163142	-1086.141433169741	-73.38293404657318	-1086.141433169741	17.361460443664946	3.437456624862694	0.009199004343388523	0.6637989236085438	0.009120080418502171	4.1690393822949785E-5	0.6967735257621369	-50.96439034596127	164.30216168541062	23.259477382696307	1.760690057679448	4.805729045325563	6.2538157454619725	2	6	2	1	4	0.186508252767438	0.33692776723335893	0.299461594659735	0.1771023853394678	
400000	-1157.980104543539	-1084.8088183423156	-73.17128620122334	-1084.8088183423156	15.933751211886788	4.069853517006091	0.013684211814379616	0.4787920564035777	0.010136129073059675	1.9509964980642064E-5	0.4106229922390286	-52.464694726520605	187.12468266988768	59.138751049924764	4.30698299201326	1.3357773569239968	1.9516014742745502	4	1	7	1	2	0.15699532276347467	0.33137762038410595	0.2961931776912638	0.21543387916115528	
500000	-1147.7273075256037	-1088.7234819372102	-59.00382558839358	-1088.7234819372102	10.908432864662323	2.6912540847967823	0.0195203932230844	0.5207426574420696	0.017558087456688375	1.0445085428964851E-4	0.48879916191092465	-40.08360427714735	300.1830016614376	22.35264438533561	2.14346746028975	1.8583735051811614	0.09073259586441802	2	4	3	5	1	0.20923235167888318	0.33550899673361995	0.2789936270211342	0.1762650245663623	
600000	-1163.2512107970574	-1082.7608596135428	-80.49035118351453	-1082.7608596135428	13.957320778715106	3.5714720485325686	0.013638877833707602	0.575970802633019	0.01407370974580211	1.3253555198753227E-4	0.764205594099352	-57.51933671523051	69.65524441169092	29.59257322565304	33.62724005854141	11.387686629119328	9.277309763914438	4	3	4	1	3	0.18203808042935513	0.3533339045877142	0.25564815181485373	0.20897986316807662	
700000	-1164.2305546384982	-1091.121233323252	-73.10932131524618	-1091.121233323252	18.479852133556427	3.718955860271423	0.010763209005982375	0.018682600363172524	0.010770879293105561	3.412914591459977E-8	0.017132101751833936	-57.75045452221518	70.02923066158152	7.050845019791342	7.628936878579087	1.666818785296144	2.5327787701482087	5	2	3	1	4	0.19829612941485886	0.345458338215451	0.2781819159295527	0.1780636164401372	
800000	-1150.2135285249324	-1085.656452638223	-64.5570758867094	-1085.656452638223	12.335090293902448	3.203060946179556	0.01721877630902745	0.3414740911835466	0.017993416260941333	4.3060284579639284E-5	0.3700403923133078	-46.308305334449734	47.950576791465956	27.35372815028944	11.050623415959574	2.1980046687881307	3.035458906617921	2	3	3	1	6	0.1789206245930024	0.33038281165133426	0.2771438961999823	0.21355266755568086	
900000	-1158.945897864041	-1076.886786589346	-82.05911127469489	-1076.886786589346	20.644714322088948	3.6636333258667437	0.008766295581012676	0.5140888748528708	0.008924591152611032	1.7775826972816894E-5	0.48153505085545906	-58.47217947327174	24.995455343654484	72.89238843368634	74.69097314274391	5.877527975618826	2.978169609984757	1	2	2	8	2	0.16648638271175265	0.32907856965752974	0.286444861399487	0.21799018623123034	
1000000	-1163.8207642470259	-1084.938792815007	-78.88197143201886	-1084.938792815007	20.5996974386792	5.070821260207981	0.008030727405375348	0.4267591439492705	0.008267979721878366	1.0630139270110621E-5	0.4046270692259436	-55.15075123604705	162.47487579826313	14.416246246899826	5.5327171670162185	16.51324138933556	9.139823854452649	3	3	4	3	2	0.1818226664912373	0.3570222262958402	0.2790201435098133	0.1821349637031091	
1100000	-1164.3763941131851	-1096.0963110959674	-68.28008301721775	-1096.0963110959674	21.448449756276773	3.337974395641614	0.008750358444647641	0.4120006932025141	0.008647007109584314	9.601265809458096E-6	0.3540215741314195	-46.128471489008966	111.92301656562302	36.43147024617848	1.225911622986261	3.1353596650245934	9.67247835452015	3	1	9	1	1	0.20166548415663504	0.33638660779044877	0.28225412140859896	0.17969378664431712	
1200000	-1163.6203277285865	-1088.1533425198218	-75.46698520876478	-1088.1533425198218	16.803955506841646	3.6419190655495206	0.013380486667209736	0.46557108310772904	0.012414775526059523	2.4229898636175128E-5	0.4080734532527077	-52.80217589244239	93.75595073044073	57.335265228027325	12.662024965979677	5.669725037679866	10.832497226324643	3	1	3	5	3	0.20821662736654611	0.31169353912391895	0.27295325873560505	0.20713657477392974	
1300000	-1172.3426622099782	-1084.0969208101458	-88.24574139983241	-1084.0969208101458	20.463724301545916	3.3330127430746535	0.007507782447854074	0.30508213804846496	0.007934435745928064	5.768274863722784E-6	0.299425409426253	-64.67460573543907	46.81914964685381	100.96743422551431	51.3694322369496	17.180562601302086	2.2112263548204796	3	2	3	5	2	0.1711849458473395	0.35841227306258755	0.2564226691409813	0.21398011194909156	
1400000	-1161.9503326636752	-1093.3323481365817	-68.61798452709348	-1093.3323481365817	12.409507672420707	3.3862638078454266	0.015150176300975857	0.5423772782425095	0.014071158642701682	6.048418433520542E-5	0.5664468934675952	-49.458115857123445	47.212031760784384	44.63311423882861	7.209152334151176	3.728966726264462	1.7889422627299725	5	1	1	3	5	0.2618581953958605	0.28648358737879104	0.25349850979673705	0.19815970742861136	
1500000	-1146.2438176578346	-1083.4673418276082	-62.77647583022643	-1083.4673418276082	13.680533148046086	4.171456471628734	0.014074095300679336	0.5316382663283584	0.012911515726991455	3.019571518169442E-5	0.42639249354577724	-45.75837638637785	157.07645498712841	15.092963034145484	1.5667212163173385	1.0628589440145142	0.3518032267335249	2	5	1	6	1	0.2005444895724205	0.3882447412504618	0.24739020531138872	0.1638205638657289	
1600000	-1175.995288411432	-1081.6744044570717	-94.32088395436035	-1081.6744044570717	23.149708530678247	3.8104717715933454	0.007694123181131748	0.32845972512371346	0.00785804163184603	6.690690453416421E-6	0.3405606372674758	-67.60552468882757	91.89812395244697	158.7862631617292	36.7408321578809	50.527228968023955	7.115238077084686	1	1	1	9	3	0.164152633569085	0.310966054222351	0.27799685970729443	0.2468844525012695	
