Clade.age	Number.of.locations
9.90035977759	2
25.0996499718	3
13.2161118584	2
9.13240662677	1
25.5259228431	2
17.3090334317	1
16.4601523051	1
5.86100622279	1
27.6630458222	2
4.97227156512	1
24.9986637463	2
49.6046954751	5
44.3882876508	4
42.7785845404	4
26.9426092817	3
26.2557306822	3
24.8424435979	2
24.7784427306	2
18.5870114105	2
18.5012625763	1
16.2668905034	1
8.22721923895	1
7.84022996779	1
15.9363093774	1
3.02172816726	1
25.8691685328	2
24.8044264019	1
15.2612678833	1
6.56168451832	1
10.3810693901	1
10.0564860946	1
8.55683961256	1
40.5413034712	2
14.2591163652	1
34.4357647799	4
33.0290286145	3
27.4137607244	3
25.5209010847	3
24.8297424696	3
24.7584920027	3
22.6244540218	2
20.5960755499	1
14.8084808773	2
14.789277094	1
21.2108269007	2
20.1458641696	2
7.88630719208	1
7.19878024418	1
5.49547270884	1
11.3989733398	1
9.09811951234	1
9.04206301585	1
8.76462672463	1
8.48559483712	1
11.1968801554	1
9.31436380519	1
8.51981957581	1
6.11890687742	1
9.78270918881	1
9.62399527155	1
7.5298873334	1
23.151005406	1
18.5481901108	1
77.0983432364	7
35.9371486324	6
34.6634541736	5
33.7836490078	4
31.2140689013	3
26.4900230797	3
26.345644752	1
23.8996969858	1
9.85813941464	1
24.5920066307	3
23.4024259125	2
21.7652272654	2
11.8470276172	1
26.0905024646	2
32.1277344683	3
25.0115009493	2
19.1188070868	1
15.9151571642	1
8.03983756905	1
27.8617587251	2
23.6107289228	2
5.49025898933	1
26.0308842693	4
11.6865521753	2
11.4662850636	2
10.6928478978	1
24.3416031235	3
10.1331213195	2
9.79239299144	1
59.1061923349	5
51.5808043945	4
49.3768067305	4
48.068769185	3
26.6562917071	3
26.2925032714	2
23.5158749847	2
22.9795384968	2
13.4064485606	2
12.874531588	1
12.2939671902	1
5.57580726445	1
4.74609685245	1
20.0783633808	1
3.2788904084	1
24.4381862152	2
20.5200984856	1
17.4548532968	1
7.66888347432	1
9.44132468783	1
6.72125782277	1
5.58403102244	1
16.8939263961	1
36.0471697969	4
32.3415327156	3
25.3980990858	3
25.0417848735	2
24.7108666617	2
24.0855057602	2
23.6389898548	2
21.8048643506	1
23.6250131985	2
12.1460070257	1
11.5256379244	1
10.0083443181	1
7.77571864433	1
9.76223773265	1
8.79735558784	1
10.4419501592	1
10.3574399731	1
9.95620178702	1
8.07395665652	1
9.28234058998	1
7.08604940583	1
24.6011976423	1
23.6568425807	2
22.1967771325	2
10.6680104462	1
7.90769730398	1
5.46707765548	1
26.0839469251	1
19.3328126822	1
83.851743357	7
82.4894114896	6
45.9081944313	6
43.4940593183	3
34.1592179245	3
26.3263853124	1
25.284007248	1
10.1477331325	1
28.8199746581	3
27.4476544151	3
23.1618372223	2
16.2395604111	1
40.1928013507	2
44.5819692129	6
29.7082903907	4
29.5174743365	3
11.6331293445	2
11.2697168625	2
10.7813765131	2
11.474230362	2
8.7316970894	2
43.7677739169	4
37.3993470244	2
19.6798410447	1
17.8501422695	1
7.88072726844	1
43.5600992621	3
31.7527299283	2
30.2308367946	2
4.79481815214	1
54.2166384461	4
44.1444277521	3
30.0554399676	3
29.7855589223	2
27.7936676585	2
25.9440500539	2
25.6252856373	2
20.7372274002	1
25.9179078446	2
28.2614922112	1
11.164766171	1
11.1176882354	1
10.975335925	1
9.43069571124	1
7.93198710392	1
7.56204425703	1
6.08381576093	1
10.3704886515	1
8.8941547138	1
9.62902523361	1
8.77459208792	1
6.55005246991	1
26.2649901548	2
16.9666261925	2
10.2823194478	1
7.29542201038	1
5.45818571129	1
35.1989725185	1
22.2010780541	1
69.2053652131	4
67.1245859479	4
29.8647394063	3
25.6229474057	2
25.4203424299	1
18.6748910124	1
5.59528228982	1
5.56630669244	1
29.8141713218	3
27.8291478123	2
26.9466094824	2
24.1381098469	1
18.6294293298	1
11.9177159839	1
11.9759176228	1
11.652462351	1
10.2554644189	1
3.04676291509	1
29.4410387333	2
26.8273145242	1
15.0902359232	1
68.6457941671	2
62.7064244705	7
58.1972215295	6
40.916189897	6
40.2059568266	5
38.7877842431	4
35.4097840623	3
29.3358499824	3
25.6256289939	1
24.8777409875	1
10.9395592976	1
27.3557110943	3
19.265493456	2
26.5622685896	2
15.9174118368	1
32.8627313952	2
27.4543116782	2
4.81261299153	1
39.555224164	3
33.8867708759	2
20.4414135605	1
15.674277282	1
7.0266989312	1
27.632114263	2
28.028147468	4
13.0928625683	2
11.585014074	2
9.68655395043	2
20.8390937173	3
9.63268164083	2
9.34540693715	2
40.3696853954	4
38.1999473475	3
26.4432810735	3
26.1741846668	2
26.0748435701	2
25.5521510873	2
25.4423973501	2
23.3346943766	1
25.3632559355	2
11.9664545846	1
10.253691688	1
10.2095618754	1
10.0241730142	1
7.62109832596	1
11.743564604	1
10.1927508045	1
8.6166870324	1
6.19768168272	1
10.111996331	1
8.72747475104	1
10.0679002421	1
26.0982404657	2
20.8697749784	2
18.8910047021	2
8.91452965451	1
8.07606638476	1
5.98172401232	1
24.580815906	1
20.1269700991	1
58.7606800958	4
58.3700421548	3
26.5007818009	3
25.9811518807	2
25.916885042	2
25.8032240357	2
13.66670571	2
13.3948569236	2
9.1015090834	1
5.05043587941	1
4.2663828507	1
24.9687517651	2
23.1867771665	1
10.5072027271	1
5.90042943474	1
13.9753959076	1
13.864799715	1
13.1458727549	1
25.3195738419	1
3.08297907029	1
58.1699029925	2
16.8550057216	1
73.8496160614	7
67.1473848606	6
45.2086346903	6
45.0761950529	5
40.7233207053	4
39.5049847979	4
37.9052577616	3
28.5676295567	3
28.2828244572	3
28.2769429459	3
26.2284883568	3
22.546640586	3
21.2895373762	2
13.6179193263	1
10.720143187	1
32.0131370584	2
27.0435679565	4
9.35938592624	2
8.85563448917	2
8.77243803831	2
25.1810094261	3
10.9770573235	2
10.6609444102	1
34.0943225502	2
23.2633427184	1
20.115355838	1
7.97661453267	1
41.9868728987	2
4.67196693722	1
28.4378628608	2
37.7471919899	4
34.2387463183	3
29.6400083914	3
29.5422749924	3
29.4227430775	3
28.9581219817	2
28.2149424343	2
24.4140573989	1
28.3980715732	2
28.1989377086	2
25.3023902982	2
8.82507546744	1
8.53240643977	1
7.99770961652	1
29.5685008784	1
11.9295635193	1
10.6360889522	1
10.4687019862	1
9.3781904758	1
8.37587112691	1
6.08036663115	1
7.82666421669	1
9.51454621894	1
8.95518378552	1
8.01280344109	1
8.77489364371	1
7.16483506468	1
28.6925578702	1
19.7327990297	1
67.8710797105	4
67.3410072055	3
57.949275862	3
31.5042046584	3
29.3605940364	3
28.6835264769	2
19.8614512365	2
17.6843864495	1
15.8066158813	1
5.96272698539	1
5.58809017234	1
23.6531484758	1
29.3411679973	2
4.81497106699	1
28.8188630971	2
28.1018427719	1
24.0789636313	1
5.65062973021	1
10.2988583349	1
9.99606171545	1
8.78421899872	1
17.2571285608	1
87.9643523402	7
52.7259892859	6
50.4204969981	3
40.7666869004	3
30.4623995943	3
29.8909900662	3
27.2254280797	1
9.14437898699	1
27.2520598676	3
23.1491227865	2
25.7132187677	2
11.9384892446	1
33.6742470607	2
39.9451984563	2
20.2305781183	1
16.4933544567	1
8.56993383352	1
47.3776244825	6
34.4782885435	4
13.1486422832	2
13.1404272917	2
10.4176958845	1
30.0940808523	3
11.1594538222	2
9.61427723042	2
45.9970502936	3
29.1688300914	2
35.3452654458	2
5.42392317367	1
82.4491344193	5
65.80339312	4
64.994282786	4
33.0664744954	3
31.4045799075	3
24.5468901928	2
24.0901785487	2
17.1424764843	1
5.71002489412	1
4.98461364049	1
30.3161196816	3
29.9565460308	3
27.4391100696	2
24.9983383387	1
18.0675709023	1
8.71763993003	1
11.3550997227	1
9.4483596769	1
7.5823464007	1
7.21586561892	1
27.548376744	1
13.7411495012	1
65.2657074183	2
55.0895922871	4
37.1750224485	3
30.5680642471	3
29.7915221422	3
28.096140653	2
27.9020650361	2
23.1335104673	1
27.8397708256	2
23.6400793349	1
29.7450340184	2
28.2908325577	2
18.1938252863	2
8.25036974148	1
6.95146666987	1
5.64444835604	1
13.1463344415	1
9.48642998995	1
8.57512266663	1
8.37238473001	1
8.81280469498	1
6.81851804137	1
11.1880225366	1
9.78060208976	1
9.54419499186	1
9.26051463269	1
8.72269405487	1
9.36177269061	1
27.3453650485	1
19.2323779209	1
102.774764348	7
92.5670215646	7
87.9000646014	6
78.5560445054	6
63.2018800277	6
40.6789897546	6
39.5744285209	4
34.9830230051	3
31.5905643428	3
30.5016688127	3
29.4131071326	3
26.0760868249	2
28.8460051697	2
12.1263574274	1
30.3609820847	1
9.43206030832	1
30.890892106	2
31.2674574329	2
38.2319142001	5
34.4613383596	4
17.5671725821	2
17.0916965313	1
16.6190170013	2
31.2942326641	3
16.998143795	2
12.0505582734	1
37.4538937184	3
30.734455736	2
18.2174940243	1
15.7491254624	1
7.73711572752	1
29.831917164	2
4.93584145875	1
49.7027287636	4
39.3909717369	3
33.4520332876	3
31.650182512	3
29.8904400623	2
26.7186035836	1
28.8889484612	2
7.92888094696	1
29.5070273772	2
27.6605477679	2
14.4500844015	1
13.6130201553	1
11.667585996	1
30.0876481137	1
28.693998603	1
13.0170258476	1
12.7188059558	1
11.1600607959	1
8.51383008437	1
8.35047214532	1
10.6725556974	1
9.77206252052	1
8.53570366392	1
6.70397925051	1
11.0287971083	1
10.8894470228	1
7.37081636305	1
25.5775592713	1
18.2812446719	1
34.8045915202	3
33.1174980724	3
30.4260731301	3
28.6974388022	2
21.8872629059	2
19.6708486778	1
15.1548056367	1
8.2908280301	1
3.46777467746	1
4.62907881432	1
29.4124871497	1
32.9924102805	2
30.5716679531	1
22.5134111846	1
6.67852256422	1
13.4171767271	1
8.07536329272	1
13.2413379663	1
19.5086221743	1
118.699923572	7
114.941889482	6
114.031848384	6
94.2756521508	6
67.4267432341	6
66.8924438566	5
63.6156478424	3
51.0114166368	3
44.2514243616	3
39.9711807618	3
36.3338797419	1
9.4991422556	1
37.5509863048	3
36.4480612881	3
23.9958206488	2
16.5406523606	1
37.6477304044	2
46.6269553716	2
17.6140974434	1
16.1367633546	1
18.0585990976	1
63.9982241833	3
39.0870662081	2
46.8117884893	2
5.19553726109	1
39.2190701678	4
19.942901793	2
19.0436239122	2
18.8415423921	1
38.3029042049	3
17.5013111612	2
13.8290605977	2
74.2374157985	4
61.8236280979	3
44.59391613	3
43.2966862096	2
40.5096385923	2
38.4209498604	1
39.5018590996	2
37.4513118829	2
39.0553749958	1
38.6731925042	1
12.9672442408	1
12.5857717748	1
9.31110563033	1
8.330662928	1
8.92407855335	1
6.21303920593	1
12.8689468317	1
12.2200140949	1
10.9228054384	1
7.76043715527	1
9.62304553356	1
9.60926094606	1
38.0426028742	2
34.1638322529	2
14.3957701791	1
13.8613245738	1
13.5284065962	1
36.1622683205	1
20.1422812794	1
109.227443991	3
41.3737311115	3
39.5099391385	3
39.3500580773	3
17.8576913115	2
14.8545417948	2
12.6010142418	1
5.76201866171	1
4.97253654199	1
38.9787212385	2
38.1379330531	2
36.2608181506	1
23.9161134889	1
12.709867334	1
18.099305803	1
17.4940633374	1
13.5180172049	1
3.45449296122	1
32.7236703728	1
15.1746062525	1
158.079815052	7
100.163893217	6
99.5621239241	6
98.5172790146	6
81.8473391126	6
54.0644050353	6
51.3881972849	4
43.0850075403	3
33.6864690928	3
32.0004842285	1
31.8357208097	1
10.2734549059	1
32.3834349699	3
32.3757308726	3
28.6296059953	2
13.3318806032	1
33.0987170236	2
40.7151580374	2
50.646020823	5
46.0899933018	4
33.632161933	4
17.8428521703	2
12.4446537918	2
7.65249437236	1
32.0407371059	3
15.4405387677	2
9.69334429461	2
32.3927426673	2
21.7651960925	1
17.4790930946	1
11.9457011983	1
38.6605873424	2
4.92546070084	1
47.5829709988	4
39.4971513769	3
34.4146468374	3
33.1654553157	2
32.0409906858	2
31.8096068301	2
29.0005306523	1
27.4315897906	1
32.7844081608	1
14.1302061812	1
13.0867828085	1
12.143708328	1
11.4815469247	1
9.37275256057	1
8.16425855825	1
9.00630148931	1
10.0766348593	1
9.26762417846	1
7.7885943027	1
10.7137139977	1
6.9567711726	1
34.009361437	2
31.5470700409	2
18.9837718904	2
11.7667797683	1
10.8218143043	1
7.84159701935	1
27.0223200514	1
18.6634289354	1
35.1956185324	3
34.8920089757	3
32.7631954057	2
17.9779621701	2
16.5765162618	1
14.9084028974	1
6.39021535979	1
6.15380030072	1
22.8857709723	1
33.1436685376	2
3.05735080082	1
31.5175566902	2
31.1261012995	1
28.6048282654	1
9.93657443267	1
13.2323211606	1
13.0188700032	1
10.4382129219	1
29.2631396483	1
112.958739398	7
72.2566505639	6
69.8381949342	6
69.5759776096	6
54.5508508325	6
38.6660721923	6
37.9687926932	5
37.616310433	5
37.5175104606	4
30.301245769	3
26.8503403602	3
26.4470827381	1
26.3983348456	1
9.22846989496	1
25.3664859152	3
24.9625363012	3
24.5511131055	2
16.1730069692	1
26.1857471704	2
24.435065304	2
27.9606374622	4
10.9995753683	2
10.9817696847	1
10.36936914	2
27.4792708763	3
12.8311533095	2
8.42083620157	1
32.4393356681	2
18.9016788593	1
16.2218340209	1
8.42696529074	1
32.7650950544	2
4.89302953188	1
39.4858431261	4
33.6390407141	3
31.0238664847	3
26.8644980535	3
26.7699526296	2
26.0992165136	2
25.4969091822	2
24.4282007246	1
24.831931221	2
24.6906566096	1
16.9107991462	1
11.7086961851	1
10.8057986661	1
9.64247495519	1
9.08762994355	1
9.70435118074	1
8.2797499546	1
8.58467572513	1
8.22629134127	1
11.219049809	1
11.0752374172	1
9.21511578844	1
25.7284276595	2
21.9579594309	2
14.2658662584	1
11.3462900276	1
8.73027485139	1
24.4485262971	1
19.7394802928	1
25.5181519361	3
25.473865961	3
23.9556250653	2
16.0170099863	2
11.4270153	1
10.7087372456	1
4.61027980888	1
4.45113307652	1
18.9899903971	1
25.4058730262	3
24.416022264	2
23.3241452899	1
17.1960392362	1
5.97439373737	1
12.5437929197	1
12.0867336807	1
11.160973764	1
3.32116371243	1
16.5160028921	1
102.5469253	7
85.3822316391	6
71.1796072996	6
43.0740709469	6
41.8441644451	3
36.4002936712	3
29.8018801275	3
29.7055662651	1
27.3309235805	1
11.561960387	1
27.5139159268	3
26.9751375265	3
18.8888163769	2
17.7099544253	1
27.6562573723	2
32.6825085408	2
17.7281241139	1
17.003225186	1
8.31447106138	1
42.914301701	6
22.4012826367	4
12.4577454313	2
12.446575253	2
11.2205885918	2
16.9549456653	3
11.1109750914	2
9.76390016385	1
40.9086397882	3
33.2735122778	2
35.1488121472	2
4.78149621761	1
52.9749004316	4
35.6889175236	3
29.7332000876	3
28.9477057683	2
27.5920220532	2
24.1566585052	2
21.492400662	1
23.9689466919	2
20.2063979471	1
28.3258072537	2
27.2146472726	2
22.292697061	2
11.5012446451	1
10.1071677143	1
11.2936691799	1
13.0098626478	1
11.2573600048	1
10.5984869528	1
10.5826584186	1
9.59169015117	1
10.8370342566	1
10.5482598566	1
10.036725135	1
11.511132618	1
9.43948282221	1
5.90391856605	1
10.9263350307	1
26.3355009114	1
17.0316493647	1
80.1338021131	3
79.5761325344	3
31.1730264919	3
30.9115606819	3
26.7960627116	2
25.4175108683	2
25.0530955366	1
6.53002277472	1
5.57969829689	1
30.8060822075	3
28.9960837635	1
29.9202717132	2
2.99336381246	1
28.2026065841	2
28.1248529171	1
19.0627704821	1
9.2958875416	1
14.0093970789	1
12.3539633995	1
11.2139022267	1
18.5192088016	1
160.462352537	7
69.7097289649	6
65.3549234536	6
61.6862004025	6
50.6166942599	6
37.4754236569	6
37.228732198	5
36.9928562191	4
34.0240033662	3
27.9093795455	3
27.7164699372	1
26.5760734262	1
9.23040011111	1
25.0938209399	3
24.9935873988	3
23.0380488945	2
13.83868564	1
26.0738927079	2
25.3573736143	2
26.3167543525	4
15.221008327	2
12.9202284652	2
12.210787419	2
25.1619034073	3
11.1604334529	2
9.21501751373	2
36.9866789986	3
33.9768888896	2
26.4143878452	1
15.9683543516	1
7.49673213197	1
29.9804149625	2
4.82703256224	1
34.8981743795	4
30.8300569111	3
26.6852674022	3
25.9786906894	3
25.5024989382	2
24.6847816741	2
24.3141718326	2
23.017963453	1
25.3917270503	2
24.7468880829	2
15.3092862363	2
9.91720660065	1
9.30930071469	1
9.12660628666	1
25.2620278904	1
12.2012344223	1
11.3436532131	1
10.06751223	1
9.60058472104	1
7.44573500233	1
11.1187044472	1
10.7812789455	1
10.7126587659	1
8.58548954525	1
8.43584193027	1
9.91186392804	1
8.63393925039	1
25.4956950523	1
17.0869231515	1
32.5019559062	3
29.7120996847	3
29.3617498008	3
28.6060573896	2
21.0937558666	2
18.3953052192	2
14.8599877605	1
5.68070191736	1
4.41764248321	1
26.8246370314	1
28.9748836769	2
27.0218172408	1
12.7377425299	1
9.86368503507	1
14.7452987231	1
10.9998760382	1
10.1064375043	1
3.15950896298	1
15.4433749913	1
101.615256708	7
66.6641606352	6
66.4578524534	6
61.5311320802	6
38.580503693	6
37.286251002	3
30.8760284526	3
29.2104356371	1
27.6429349894	1
9.61590292046	1
28.5575446159	3
22.3098549224	2
28.2002027947	2
15.4686778839	1
33.4260475678	2
37.839760819	6
36.4981416609	5
28.5789111304	4
12.2748486978	2
10.754865616	2
8.13141380753	1
28.4790285773	3
11.2622172973	2
8.81482403333	1
36.2783737051	3
34.2228968204	2
19.5668712397	1
15.6470910435	1
10.9883729404	1
29.6482270259	2
5.11214828757	1
28.5631826817	2
47.44309862	4
41.1226934505	3
35.6137794427	3
33.6042394537	3
28.300287381	2
27.8884406878	2
25.5341034807	2
20.3626196211	1
33.2544338509	2
31.8877207549	2
27.913488702	2
22.2239155258	2
11.5756386675	1
10.8311754556	1
9.82417764995	1
12.9421541046	1
11.1872188539	1
10.6443175242	1
9.78141356618	1
7.91982016515	1
8.15271282045	1
9.9268190482	1
9.38145846818	1
9.94783175469	1
11.5350140059	1
11.1001510668	1
8.36541593658	1
25.3876872883	1
23.0416969977	1
66.3502441156	2
29.168802711	3
29.1555276754	3
28.6614791537	2
28.2562367891	2
13.8800904146	2
12.878631652	1
11.4911940918	1
6.01560876403	1
5.43482412667	1
20.9579717338	2
19.5575285685	1
10.2722929363	1
6.42477169068	1
9.41740141062	1
9.14953696168	1
8.51760825044	1
28.3522390441	1
3.13141024273	1
16.064153987	1
140.717682391	7
53.1267423892	6
50.2948691171	6
46.210863914	6
34.579140345	6
33.6840525591	5
32.0940139012	4
30.50188036	3
25.6052052504	3
25.161766309	1
24.8297721505	1
9.82119692364	1
21.7313079528	3
16.3956515461	2
19.403125239	2
10.487262176	1
24.7059355068	2
24.0752445126	2
5.95404964376	1
32.676257254	4
21.2910126436	4
21.2521183932	3
9.70087055446	2
8.88265179773	1
8.86292658939	2
11.7690140094	2
10.7522186769	2
25.1997591232	2
17.9171314265	1
16.4148561936	1
9.98780289478	1
24.0686138579	2
36.5385031269	4
32.1724868444	3
25.7115841253	3
25.1002340867	3
24.9431574347	2
24.3844049902	2
22.7531791765	2
20.3749665386	1
25.0551545645	2
24.7732282983	2
21.9270428518	2
17.4253116926	2
8.72672100889	1
6.61112589284	1
8.07967673506	1
14.1390301957	1
10.8869181271	1
9.1841975978	1
8.75457262443	1
8.54313475486	1
8.32909821055	1
10.8177098392	1
9.67657007381	1
7.88320933891	1
9.42251044751	1
8.32905016102	1
7.95906897316	1
25.7709609135	1
17.267631753	1
44.4096620523	3
27.1905418642	3
26.4452693802	2
24.5494914462	2
24.1375309074	1
16.7574262503	1
6.53578376464	1
4.61881882147	1
24.778686633	2
24.4001824095	2
21.1167209393	1
9.11965633585	1
9.09548975332	1
8.83175236448	1
8.19648721561	1
26.8697634654	3
24.1822650771	2
21.1119840047	1
3.89254221982	1
18.1403764155	1
68.7578459179	7
65.7359605871	7
65.2651019029	6
56.0644090346	6
35.6334419107	6
34.943680793	6
33.9728441381	5
31.4026718195	3
26.6001840765	3
26.5317944257	3
24.589333631	3
22.8775377494	3
19.8035386466	2
16.4170689378	1
23.5822862336	1
10.8658808672	1
29.6385331546	2
33.6510087573	5
23.6152813032	4
11.7776389524	2
10.6638822002	1
11.4690002993	2
22.3541890406	3
12.1009707279	2
8.25580135502	2
29.2414374031	2
