Clade.age	Number.of.locations
56.8880896092	3
36.6428163465	3
28.2487013162	3
26.863351946	2
24.7162363816	1
19.9103420117	1
24.7156095759	1
21.9900891649	1
21.2643792467	1
18.6865269353	1
21.1894050553	1
21.0248836785	1
19.6724692613	1
26.7728947646	2
28.0400011369	3
26.5144676833	1
19.9932749768	1
19.5498504156	1
19.549455537	1
16.2083589696	1
18.5892568967	1
18.5670962934	1
19.1546992793	1
27.2655265646	3
26.2185847353	1
21.1320047774	1
18.7034696132	1
18.4920772069	1
18.4853233932	1
18.9032229285	1
18.8537731038	1
18.7792106349	1
13.5516955319	1
13.347922845	1
12.8661531702	1
10.388393971	1
5.98889201723	1
18.7080894123	1
27.1478697044	3
25.3116613789	3
23.1857443412	2
23.1699354659	1
21.543271473	1
20.6080610213	1
19.1401612122	1
18.3766460323	1
20.2534473535	1
20.0432350779	1
19.5384125632	1
18.5734131406	1
19.2065192491	1
51.1135170724	3
44.9594565354	3
43.6860419584	3
39.6298145493	2
19.3275609171	1
19.0608021662	1
17.5440487723	1
12.3688263068	1
8.01508953901	1
43.1080121769	3
42.6314273127	3
42.5472236891	3
38.6755782852	1
19.9479798465	1
42.06486366	3
25.3681448948	2
22.9479717626	1
21.4251311125	1
18.4968287785	1
6.92417047056	1
4.91656415382	1
21.8860528725	1
21.3262949711	1
13.5460988868	1
14.2539388711	1
5.93478769371	1
74.0931270001	3
45.3819055907	3
38.8596892247	3
37.6391230869	3
37.4429778342	3
36.4932413842	2
33.8361464314	2
33.1189183111	2
30.6908221828	2
26.0016744845	1
25.1197068834	1
19.0805634046	1
23.2409004374	1
22.531191906	1
22.3329049766	1
21.974567025	1
20.6883759276	1
21.4362781083	1
24.4456797423	2
28.3174004138	2
28.0803459603	2
25.105672594	1
24.0730176942	1
23.7091491162	1
14.7415686153	1
24.2027100622	1
22.7795054002	1
20.8400121661	1
22.1570032346	1
22.0073961643	1
26.6882615686	1
22.788071992	1
21.6529363722	1
22.2820745771	1
22.865810595	1
22.3036707263	1
13.0602476884	1
12.5845170312	1
12.4546033242	1
11.0984464785	1
21.7943077897	1
7.74843546803	1
35.6321577858	1
24.8615708896	1
24.58711177	1
23.4813418413	1
19.3396866971	1
22.639413877	1
22.3842162021	1
22.1500243547	1
26.8940400827	1
46.4873177429	3
40.0340269009	3
26.8373032376	1
23.2636869704	1
22.6907845781	1
16.4384192751	1
6.17382604544	1
38.3548998584	3
37.4728122402	3
36.0312373129	1
22.8517457624	1
36.9028394469	3
36.6442663451	3
27.3666664607	2
26.4332111917	2
20.9485155444	1
22.3421018233	1
22.2288160854	1
14.473353318	1
19.1125541701	1
22.4139509317	1
4.57072697124	1
3.89606907758	1
35.4462509769	1
30.7368375753	1
6.59825956747	1
50.1487746427	3
37.658103316	3
32.5711940847	3
31.8788869685	3
31.5710091748	2
31.4578865226	2
31.272144301	2
28.2484517654	2
28.2434558619	2
24.9130515639	1
21.1762918421	1
17.5030466991	1
21.9651682868	1
21.6004643618	1
19.9210143045	1
20.2755830252	1
19.088399654	1
17.139745992	1
26.1790897803	1
22.960185703	1
20.1352390242	1
19.4894593982	1
15.8758322175	1
19.5425616089	1
19.3148033815	1
19.0657302402	1
31.8222927264	2
26.105934435	1
25.4160049651	1
21.308094861	1
19.9911807014	1
11.9680089065	1
10.3261011026	1
11.4406753801	1
9.22438670189	1
21.089738448	1
5.43608238826	1
21.3842804114	1
30.6940061866	2
22.1034695936	1
27.2369707686	2
21.6361484185	1
14.7073583911	1
20.1083110493	1
13.0758252154	1
25.6304842691	2
25.2717481444	2
20.718370301	1
19.4802795466	1
22.2818595221	1
20.9343941554	1
33.336560799	3
31.9167405073	3
31.8236261499	3
31.7491131509	2
31.0779833825	2
30.4093558362	2
28.8669166689	2
23.1620005988	1
22.5594524114	1
18.6917665766	1
4.61647638229	1
21.1661738754	1
25.3848032987	1
21.8480619686	1
31.3347153373	3
22.3401870786	2
20.6178317308	1
14.1624749992	1
17.0437880411	1
4.93884471572	1
4.00196272981	1
20.9986708745	1
20.8517397265	1
15.4349448696	1
12.6053899589	1
4.17569684297	1
59.2569796358	3
35.4528990349	3
26.3913571871	3
25.7243282021	3
25.4066510266	3
25.3045126216	3
23.0424156037	2
22.6213056427	1
21.9090989567	1
19.5111567695	1
20.9649850111	1
20.3541049184	1
18.8015921275	1
19.6794184606	1
18.3753208017	1
17.2824750557	1
21.3598306341	2
25.1092744199	2
21.9906068092	1
18.5184739009	1
18.2853674161	1
18.0186524033	1
18.3613576468	1
10.9622064085	1
8.57070683296	1
10.1919680839	1
9.50829835738	1
18.2305627202	1
6.09003947344	1
17.7080637719	1
24.3245996722	1
22.9979752576	1
18.9382435953	1
18.7881187544	1
18.7684335615	1
17.5726154173	1
18.7351616948	1
18.4613464013	1
18.3914021592	1
16.4614097426	1
23.5056553333	2
23.4375404405	2
21.2356658336	2
20.4055875561	1
18.6532990148	1
20.2695945506	1
16.7440915377	1
22.5284209957	2
18.6699296529	1
17.6043698129	1
22.3472858174	1
47.1526747796	3
38.3855276309	3
37.2037950927	2
36.9869276224	2
36.9695985886	2
19.7149751343	1
19.2544504163	1
17.9430059359	1
14.0403925028	1
6.39598699796	1
36.8841006177	2
34.420707731	2
31.8785152737	1
18.7493174423	1
34.8857095231	3
22.3403593424	2
20.6880644614	1
17.4407321556	1
15.1163989511	1
4.18814266078	1
