#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:cluster13" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:cluster13" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:cluster13" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:cluster13" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:cluster13">
#                    <trait id="dateTrait.t:cluster13" spec="beast.evolution.tree.TraitSet" traitname="date">
#                11893_6#49_Oceania_Australia_2006.5=2006.5,
#ERR3198504_Europe_UK_2007.4904109589=2007.4904109589,
#12163_2#65_Oceania_Australia_2012.5=2012.5,
#10625_4#25_Europe_UK_2011.62465753425=2011.62465753425,
#11861_8#21_Oceania_Australia_2010.5=2010.5,
#9808_Asia_China_1998.5=1998.5,
#12163_2#76_Oceania_Australia_2007.5=2007.5,
#10665_3#19_Europe_UK_2002.94520547945=2002.94520547945,
#ERR3198392_Europe_Spain_2013.14520547945=2013.14520547945,
#SRR7800718_NorthAmerica_USA_2015.48493150685=2015.48493150685,
#10702_1#15_NorthAmerica_USA_2005.51232876712=2005.51232876712,
#10660_1#25_NorthAmerica_USA_2008.39071038251=2008.39071038251,
#10250_1#69_Europe_UK_2010.57260273973=2010.57260273973,
#10702_1#19_NorthAmerica_USA_2005.8=2005.8,
#12163_2#96_Europe_UK_2013.02739726027=2013.02739726027                
#                                    <taxa id="TaxonSet.cluster13" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.cluster13"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:cluster13" jeffreys="true" parameter="@bPopSizes.t:cluster13" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="KappaPrior.s:cluster13" name="distribution">
#            <parameter id="kappa.s:cluster13" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="MeanRatePrior.c:cluster13" name="distribution">
#            <parameter id="ucldMean.c:cluster13" name="x">0.0018</parameter>
#            <Uniform id="Uniform.4" lower="9.8E-4" name="distr" upper="0.0027"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:cluster13" name="distribution">
#            <parameter id="ucldStdev.c:cluster13" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@cluster13" id="treeLikelihood.cluster13" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cluster13">
#            <siteModel id="SiteModel.s:cluster13" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cluster13" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cluster13" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cluster13" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:cluster13" kappa="@kappa.s:cluster13" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:cluster13" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:cluster13" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:cluster13" id="RelaxedClock.c:cluster13" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:cluster13">
#                <LogNormal S="@ucldStdev.c:cluster13" id="LogNormalDistributionModel.c:cluster13" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="28" id="rateCategories.c:cluster13" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	-2834.069075388004	-2733.436595090973	-100.63248029703108	-2733.436595090973	143.6457215901139	4.04628654005868	0.0013044211533769377	0.1573739940572081	0.0013091964040602038	3.415436786154308E-8	0.14170638153860848	-76.19506893036632	2073.6574997562934	47.04779008039742	19.918099149580996	39.10089172704153	18.78703264715552	3	1	3	3	4	0.19676760204470278	0.2792110611078485	0.31756631005188896	0.20645502679555824	
100000	-2830.8037382811335	-2726.0697239621327	-104.73401431900061	-2726.0697239621327	149.78084299695834	3.885681135152852	0.00138477020569394	0.11991220557016169	0.0013456643953902215	3.188608496599802E-8	0.1320264206940029	-79.84052165417005	418.89800415630316	495.19081550630904	158.35382896294013	39.24071251429589	25.029771468259007	2	1	5	3	3	0.19959860585962136	0.24139830096470427	0.3373713654919088	0.22163172768376402	
200000	-2834.6212489510617	-2740.8322349842274	-93.78901396683453	-2740.8322349842274	94.08764357393251	3.734181898390951	0.001587867081387989	0.03169798069549555	0.0015988369025473873	3.1511200739089936E-9	0.03528799989952976	-71.8906206975217	617.8609028034755	46.259714339103084	36.18290952533875	55.361849061323035	34.4767276739165	3	1	4	4	2	0.20921266175239048	0.2302703264631043	0.32874379526125214	0.2317732165232515	
300000	-2826.7431332207416	-2724.652866966762	-102.09026625397966	-2724.652866966762	113.5913872258437	3.521746475087584	0.0017132880869993353	0.043204434619406366	0.0016848628304254997	6.501547282248891E-9	0.04757793880232989	-74.7917721276283	2000.276327666759	845.0549429163003	115.41453352000337	87.0082335119857	11.04592506973968	1	2	1	5	5	0.186904992014679	0.27421171794727317	0.32794513710579126	0.2109381529322549	
400000	-2824.803812115526	-2725.1143342204678	-99.68947789505813	-2725.1143342204678	96.50778892328435	3.8162697381099187	0.00184943329119507	0.2749415310660796	0.0017505193681656105	2.189371982483598E-7	0.26466100846556817	-74.728347741623	1128.1065491377992	189.67598658167267	85.77799879792012	27.16350828955774	19.324697460560238	3	3	2	1	5	0.19813197374564445	0.2760269920871712	0.31556961040035675	0.210271423766826	
500000	-2826.995131069964	-2735.0226843474466	-91.9724467225172	-2735.0226843474466	178.17441997005326	3.411881890386535	0.0010590282079109073	0.1203723542312391	0.0010720093385964912	9.41073019019196E-9	0.09280445383240633	-69.85746413835433	1667.8118229703612	9.266266511205494	20.933941178400165	12.906838727957263	15.873915396157566	3	3	3	1	4	0.19598499584337742	0.25314895673174465	0.348972198173519	0.20189384925135745	
600000	-2822.3670624949914	-2732.0647102556127	-90.30235223937873	-2732.0647102556127	91.68634423889901	3.7760390254994065	0.002160401568417214	0.007629981265119294	0.0021645584952275036	3.7311952593060575E-10	0.008943604829081025	-66.01803365480224	919.0941741785127	627.1821251597556	52.60559324104258	11.334889226693305	33.209480070620444	2	1	2	7	2	0.1984699626506815	0.2853993027379003	0.3012906244255267	0.21484011018588997	
700000	-2820.7012251087917	-2727.8550924938095	-92.84613261498217	-2727.8550924938095	112.781323110225	4.817729699020626	0.0015806668471887214	0.08182562149769343	0.0016083348812100705	1.4173954233758561E-8	0.07432847051770704	-68.27028936128828	826.0364865924123	906.1951411992012	33.53092428755765	6.108452491637602	13.44158992488343	2	1	4	1	6	0.19724940676543573	0.25536616277572527	0.338413952861926	0.2089704775969115	
800000	-2844.7081482558456	-2731.829940496725	-112.8782077591205	-2731.829940496725	153.824229279181	3.06231385643776	0.0013346845842240904	0.012451282384202308	0.0013408092634353825	2.5336329163404884E-10	0.011853647171614792	-82.5787251411579	1593.7341377144576	2635.6829994145983	398.8149053092926	198.75185441978005	39.41802470446399	1	2	2	4	5	0.18884206933672798	0.2360835797044513	0.35406542711310685	0.22100892384571236	
900000	-2820.290161884747	-2728.3262322249952	-91.96392965975171	-2728.3262322249952	141.92985783848195	3.814467695609769	0.0015283263521542027	0.05422443917910617	0.0015077530674810025	4.199408818735037E-9	0.042542066329421584	-72.20510085580206	604.1402860800929	49.15542093051007	22.781151407022705	8.090763733028044	16.24973540303312	3	2	4	2	3	0.19113855732002072	0.26180846426107407	0.34175355118568795	0.20529942723321573	
1000000	-2814.7798274871893	-2726.7785066566016	-88.00132083058767	-2726.7785066566016	84.30328318236323	4.32153713128684	0.0025894748116338595	0.1649807007290579	0.002605826033623028	1.9270338658142904E-7	0.16754827346518816	-66.10092712990934	563.3926442688995	185.9438353429789	24.260509192762107	24.046649695351938	7.120648193535906	3	1	3	3	4	0.18177878269414252	0.27536058280052067	0.3268502668713919	0.2160103676339433	
1100000	-2820.524557789155	-2728.3511182968323	-92.17343949232297	-2728.3511182968323	95.28747788828977	3.7053130357557618	0.0022704752807496675	0.17425277592310173	0.002369406964205556	1.2819046829175654E-7	0.15363836234691175	-65.06942298905497	1207.423677718477	522.254229468961	96.08152400567549	8.234175091114668	29.065035024800785	3	1	1	5	4	0.19832091273446809	0.2732510675896813	0.3037776249099723	0.22465039476587673	
