Interval.start	Median	HPD.min	HPD.max
1860	0	0	0
1861	0	0	0
1862	0	0	0
1863	0	0	0
1864	0	0	0
1865	0	0	0
1866	0	0	0
1867	0	0	0
1868	0	0	0
1869	0	0	0
1870	0	0	0
1871	0	0	0
1872	0	0	0
1873	0	0	0
1874	0	0	0
1875	0	0	0
1876	0	0	0
1877	0	0	0
1878	0	0	0
1879	0	0	0
1880	0	0	0
1881	0	0	0
1882	0	0	0
1883	0	0	0
1884	0	0	0
1885	0	0	0
1886	0	0	0
1887	0	0	0
1888	0	0	0
1889	0	0	0
1890	0	0	0
1891	0	0	0
1892	0	0	0
1893	0	0	0
1894	0	0	0
1895	0	0	0
1896	0	0	0
1897	0	0	0
1898	0	0	0
1899	0	0	0
1900	0	0	0
1901	0	0	0
1902	0	0	0
1903	0	0	0
1904	0	0	0
1905	0	0	0
1906	0	0	0
1907	0	0	0
1908	0	0	0
1909	0	0	0
1910	0	0	0
1911	0	0	0
1912	0	0	0
1913	0	0	0
1914	0	0	0
1915	0	0	0
1916	0	0	0
1917	0	0	0
1918	0	0	0
1919	0	0	0
1920	0	0	5.61842041116992
1921	0	0	7.21296920615852
1922	0	0	8.16551182830999
1923	0	0	8.71070321499142
1924	0	0	8.97613408268119
1925	0	0	9.68356276428759
1926	0	0	9.95471163950583
1927	0	0	10.5383570993289
1928	0	0	10.8882478294381
1929	0	0	11.5766425149029
1930	0	0	11.9570398091315
1931	0	0	12.2839040231001
1932	0	0	12.7717943310944
1933	0	0	13.1038861949136
1934	0	0	13.2481904104728
1935	0	0	14.5057715649093
1936	0	0	14.7075045029458
1937	0	0	14.9401277179631
1938	0	0	15.76680169746
1939	0	0	17.7846422573534
1940	0	0	18.6055042900062
1941	0	0	20.266801975227
1942	0	0	40.4519696868805
1943	0	0	995.771366928564
1944	0	0	1036.56539211048
1945	0	0	1130.81136708995
1946	0	0	1157.86825199971
1947	0	0	1257.58431053973
1948	0	0	1290.4859441721
1949	0	0	1293.83176864361
1950	3.14498547057326	0	1307.29723527242
1951	4.36529594079788	0	1333.96888444202
1952	4.85781787247567	0	1345.83032489198
1953	5.28141011158821	0	1358.63555744819
1954	5.58654975597417	0	1378.74252736137
1955	5.96189879104536	0	1385.86207968302
1956	6.39244342797893	0	1394.76522789998
1957	6.68888699633904	0	1410.98731118225
1958	6.97986504486427	0	1416.43772336698
1959	7.30694963350359	0	1415.71486958506
1960	7.56799367501045	0	1441.8517604101
1961	8.12091102338926	0	1443.52003169826
1962	8.69108849276983	0	1448.66698181635
1963	9.77067739516896	0	1453.13264445038
1964	11.5168010268852	0	1456.9311231407
1965	276.862717810781	0	1449.63136273135
1966	663.217620635536	0	1456.9311231407
1967	732.773001226272	0	1459.22712500916
1968	756.839547442098	0	1466.50038350959
1969	774.60930474262	0	1467.01020025089
1970	793.114514973789	0	1467.72106759326
1971	809.632381961054	0	1476.47764835126
1972	818.789054033135	0	1486.43663610694
1973	823.762794444505	0	1492.72207862485
1974	827.288114096019	0	1500.21823953755
1975	829.130836318939	0	1525.86099497457
1976	831.758058181723	0	1547.38987101254
1977	832.173236498154	1.71284720398045	1567.16300135605
1978	836.748716325708	0.971945491905086	1599.6560390443
1979	838.768267859164	2.45167922739547	1813.39357571371
1980	841.869813120834	1.25015898964028	1948.80996672856
1981	842.610941467811	1.73765419424805	2127.61943656589
1982	848.789753423181	2.40582772505572	2436.06314079737
1983	857.2032470859	281.863829074799	2804.39907792177
1984	866.227472313384	325.050290025924	2911.61420877093
1985	873.241741371739	340.785949522422	3062.98892805545
1986	882.333857968395	347.606770457422	3184.77682262642
1987	899.271771663807	341.610565619024	3293.37953409018
1988	921.721583862925	357.666993638533	3430.94472522698
1989	959.671859295735	336.762185731919	3537.3527531745
1990	1021.27876608783	336.762185731919	3635.69232173497
1991	1086.50551263241	330.892747860474	3759.74197735283
1992	1202.18527540591	357.666993638533	3907.88448619458
1993	1390.36200733516	379.01205342719	4049.15492190497
1994	1588.31066712114	437.993469358654	4153.59893581269
1995	1777.28163257864	436.894607316474	4168.4662057752
1996	1920.88208282818	437.993469358654	4343.94534687687
1997	2036.85899104599	437.993469358654	4465.70238192594
1998	2175.35561667693	498.140792261872	4558.79720537599
1999	2277.44268831903	545.940485274259	4624.44119694742
2000	2343.05943123508	471.226977716719	4573.79361415823
2001	2425.90661031546	733.958753511201	4823.69588608372
2002	2448.43994987243	950.692681198546	4852.40729230466
2003	2469.50723959157	1183.33830368149	4847.58171650032
2004	2472.85849142576	1276.06662030174	4830.48780821652
2005	2469.50723959157	1106.86891330656	4558.79720537599
2006	2483.94875396311	1168.16731967522	4624.44119694742
2007	2511.03378708328	1281.96162527868	4852.99913577199
2008	2558.43735498731	1281.96162527868	4956.72318023725
2009	2579.08550540496	1281.96162527868	5122.09309626091
2010	2597.73247057178	1281.96162527868	5231.11451575595
2011	2604.33971101835	1281.96162527868	5322.75233191218
2012	2589.33172330256	1183.33830368149	5610.65025324004
2013	2506.3250478851	0	5096.57750167433
2014	2216.87421714239	0	4782.79217127271
2015	0	0	4113.4369852046
2016	0	0	0
2017	0	0	0
2018	0	0	0
2019	0	0	0
